StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Study_Participant_ID,Virtual_Silcton_ID,Q8_Browser,Q8_Version,Q8_Operating System,Q8_Resolution,Q9,Q10,Q11,Q12,Q14,Q15,Q15_6_TEXT,Q16,Q16_4_TEXT,Q17,Q17_8_TEXT,SBSOD_1_1,SBSOD_2_1,SBSOD_3_1,SBSOD_4_1,SBSOD_5_1,SBSOD_6_1,SBSOD_7_1,SBSOD_8_1,SBSOD_9_1,SBSOD_10_1,SBSOD_11_1,SBSOD_12_1,SBSOD_13_1,SBSOD_14_1,SBSOD_15_1,QID138,QID138_3_TEXT,Q121,Q123,Q125,Q127,Q129,Q129_3_TEXT,Q131,Q131_3_TEXT,Q133,Q135,Q137,Q139,Q141,Q143,Q145,Q145_3_TEXT,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q130,Q131,Q132,Q133,Q134_1,Q134_2,Q134_3,Q134_4,Q135_0_GROUP,Q135_0_1_RANK,Q135_0_2_RANK,Q135_0_3_RANK,Q135_0_4_RANK,Q135_0_5_RANK,Q135_0_6_RANK,Q135_0_7_RANK,Q135_0_8_RANK,Q135_0_9_RANK,Q135_0_10_RANK,Q135_0_11_RANK,Q135_0_12_RANK,Q135_0_13_RANK,Q135_0_14_RANK,Q135_0_15_RANK,Q135_0_16_RANK,Q135_0_17_RANK,Q135_0_18_RANK,Q135_0_19_RANK,Q135_0_20_RANK,Q135_0_21_RANK,Q135_0_22_RANK,Q135_0_23_RANK,Q135_0_24_RANK,Q135_0_25_RANK,Q135_0_26_RANK,Q135_0_27_RANK,Q135_0_28_RANK,Q135_0_29_RANK
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"EXPERIMENTER USE ONLY:
Please enter the Participant ID for this study",What is the Virtual Silcton unique identifier? (Copy and paste below),Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,What is your age?,"How many years of education have you completed? 
 

Completing high school is equivalent to 12 years of education (e.g., an undergraduate student will have completed 14 years of education by the end of their second year at college / university).",Is English your first language?,Do you normally write with your right hand?,What sex were you assigned at birth?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (please specify) - Text,What is your sexual orientation? - Selected Choice,What is your sexual orientation? - Other (please specify) - Text,What is your race / ethnicity? - Selected Choice,What is your race / ethnicity? - Other (please specify) - Text,1) - I am very good at giving directions.,2) - I have a poor memory for where I left things.,3) - I am very good at judging distances.,"4) - My ""sense of direction"" is very good.","5) - I tend to think of my environment in terms of cardinal directions (N, S, E, W).",6) - I very easily get lost in a new city.,7) - I enjoy reading maps.,8) - I have trouble understanding directions.,9) - I am very good at reading maps.,10) - I don't remember routes very well while riding as a passenger in a car.,11) - I don't enjoy giving directions.,12) - It's not important to me to know where I am.,13) - I usually let someone else do the navigational planning for long trips.,14) - I can usually remember a new route after I have traveled it only once.,"15) - I don't have a very good ""mental map"" of my environment.","When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Selected Choice","When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Other: - Text",Do you consider yourself a good navigator?,Do you find it easy to read and use maps?,How often do you get disoriented while finding your way around?,"When thinking about a familiar street, how well can you picture the buildings along it?","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Selected Choice","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Other: - Text",Do you picture travelling a route on street level or from a bird's eye view? - Selected Choice,Do you picture travelling a route on street level or from a bird's eye view? - Other: - Text,"When navigating in an area you know well, do you usually just know where to go or do you need to look around at the surroundings to decide (e.g. coming out of a subway station)?","When traveling along a new route, do you usually remember what buildings you've passed?",Would you prefer to navigate using a list of directions or a map,Do you use landmarks (i.e. familiar buildings) to orient yourself when navigating?,"Do you find you're flexible navigating along routes (i.e. you can take new shortcuts easily, or do you prefer to follow the same path every time?",How easily could you draw a map of the city that you know?,"Do you think that you navigate by following a mental map, or working on scene at a time. - Selected Choice","Do you think that you navigate by following a mental map, or working on scene at a time. - Other: - Text","Z”˛;mso-bidi-font-family:P>Z”˛;
color:black"">How much video game experience do you have?",How good do you feel you are at playing video games?,Do you currently play video games?,How often (approximately) do you currently play video games?,How many years have you consistently played video games (lifetime)?,"At your peak playing, how many hours per week did you play video games?",Within the past five years how often have you played any video games?,Do you currently have a device to play video games?,What type of device(s)? Exclude immersive VR setups.,"This next set of questions have to do with a specific kind of video game. 
Have you ever played video games involving navigation, walking, or driving (examples include Grand Theft Auto, Halo, Call of Duty, World of Warcraft, League of Legends, Minecraft, Legend of Zelda: Breath of the Wild)?","How often (approximately) do you currently play video games involving navigation, walking, or driving?","At your peak playing, how many hours per week did you play video games involving navigation, walking, or driving?",What are your Top 4 (in order) video games that you like to play? (write Not Applicable if you don't play video games) - 1.,What are your Top 4 (in order) video games that you like to play? (write Not Applicable if you don't play video games) - 2.,What are your Top 4 (in order) video games that you like to play? (write Not Applicable if you don't play video games) - 3.,What are your Top 4 (in order) video games that you like to play? (write Not Applicable if you don't play video games) - 4.,"Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Groups - Your Top 3 Genres, or video game categories, that you enjoy playing.","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Action - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Adventure Fighting - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Arcade - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - City-building games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Economic simulation games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Educational - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - First-person shooter - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Flight - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - God games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Mass. Multi. Online Games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Other (specify) - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Maze - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Military - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Music - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Pinball - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Platform - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Puzzle - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Strategy - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Racing - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Real-time and turn-based tactical - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Real-time and turn-based strategy - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Role-playing - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Simulators - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Space - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Sports - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Stealth - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Strategy war games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Survival/Horror - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Vehicular combat - Rank"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID152_TEXT""}","{""ImportId"":""QID153_TEXT""}","{""ImportId"":""QID8_BROWSER""}","{""ImportId"":""QID8_VERSION""}","{""ImportId"":""QID8_OS""}","{""ImportId"":""QID8_RESOLUTION""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_8_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID138""}","{""ImportId"":""QID138_3_TEXT""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID143_3_TEXT""}","{""ImportId"":""QID144""}","{""ImportId"":""QID144_3_TEXT""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID151_3_TEXT""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126_TEXT""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID134_2""}","{""ImportId"":""QID134_3""}","{""ImportId"":""QID134_4""}","{""ImportId"":""QID135_0_GROUP""}","{""ImportId"":""QID135_G0_1_RANK""}","{""ImportId"":""QID135_G0_2_RANK""}","{""ImportId"":""QID135_G0_3_RANK""}","{""ImportId"":""QID135_G0_4_RANK""}","{""ImportId"":""QID135_G0_5_RANK""}","{""ImportId"":""QID135_G0_6_RANK""}","{""ImportId"":""QID135_G0_7_RANK""}","{""ImportId"":""QID135_G0_8_RANK""}","{""ImportId"":""QID135_G0_9_RANK""}","{""ImportId"":""QID135_G0_10_RANK""}","{""ImportId"":""QID135_G0_11_RANK""}","{""ImportId"":""QID135_G0_12_RANK""}","{""ImportId"":""QID135_G0_13_RANK""}","{""ImportId"":""QID135_G0_14_RANK""}","{""ImportId"":""QID135_G0_15_RANK""}","{""ImportId"":""QID135_G0_16_RANK""}","{""ImportId"":""QID135_G0_17_RANK""}","{""ImportId"":""QID135_G0_18_RANK""}","{""ImportId"":""QID135_G0_19_RANK""}","{""ImportId"":""QID135_G0_20_RANK""}","{""ImportId"":""QID135_G0_21_RANK""}","{""ImportId"":""QID135_G0_22_RANK""}","{""ImportId"":""QID135_G0_23_RANK""}","{""ImportId"":""QID135_G0_24_RANK""}","{""ImportId"":""QID135_G0_25_RANK""}","{""ImportId"":""QID135_G0_26_RANK""}","{""ImportId"":""QID135_G0_27_RANK""}","{""ImportId"":""QID135_G0_28_RANK""}","{""ImportId"":""QID135_G0_29_RANK""}"
2022-03-23 07:39:07,2022-03-23 07:43:51,IP Address,128.227.188.116,100,283,True,2022-03-23 07:43:51,R_1F8OqJxYOaxfJZn,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,,,Chrome,99.0.4844.82,Windows NT 10.0,1920x1080,19,14,english,right,male,man,,heterosexual,,black/afri-amer,,Agree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23 08:53:25,2022-03-23 09:25:18,IP Address,128.227.188.116,100,1912,True,2022-03-23 09:25:18,R_8w5hNmEmwj1Fi37,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2008,,Chrome,99.0.4844.82,Windows NT 10.0,1920x1080,18,12,english,right,male,man,,heterosexual,,black/afri-amer,,Strongly agree,Somewhat disagree,Agree,Agree,Somewhat agree,Disagree,Neutral,Disagree,Somewhat agree,Somewhat disagree,Neutral,Disagree,Somewhat agree,Neutral,Disagree,Scene,,Yes,Somewhat,Very Rarely,Very clearly,Landmarks,,Street-level,,Some of each,Somewhat,Directions,Often,Flexible,Not easily,Scene at a time,,A great deal,very good,Yes,monthly,13,10-15,weekly,No,,Yes,monthly,10-15,Grand Theft Auto,NBA 2k,Mario Kart,Madden,"Sports,Action,Adventure Fighting,First-person shooter",2,3,,,,,4,,,,,,,,,,,,,,,,,,1,,,,
2022-03-23 12:16:51,2022-03-23 12:25:54,IP Address,128.227.188.116,100,542,True,2022-03-23 12:25:54,R_3F58htZiDZrgWBX,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2009,,Chrome,99.0.4844.82,Windows NT 10.0,1920x1080,18,12,english,right,male,man,,heterosexual,,other,Middle Eastern,Somewhat agree,Agree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Scene,,No,Somewhat,Very Rarely,Very clearly,Landmarks,,Street-level,,Some of each,Somewhat,Directions,Often,Somewhat flexile,Very easily,Scene at a time,,A moderate amount,moderately good,No,,4,1-5,weekly,No,,Yes,monthly,1-5,Madden,MLB the Show,Fortnite,Rocket League,"Sports,First-person shooter,Action",3,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,
2022-03-25 07:28:26,2022-03-25 07:37:51,IP Address,128.227.188.116,100,565,True,2022-03-25 07:37:51,R_2afYuuU4SYd4L3h,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2010,,Chrome,99.0.4844.82,Windows NT 10.0,1920x1080,19,13,english,right,female,woman,,heterosexual,,white,,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Scene,,Yes,Somewhat,Somewhat Often,Somewhat clearly,Landmarks,,Street-level,,Some of each,Somewhat,Directions,Sometimes,Prefer the same route,Somewhat easily,Scene at a time,,A moderate amount,moderately good,No,,3,1-5,few times a year,No,,Yes,few times a year,1-5,"grand theft auto ",n/a,n/a,n/a,"Action,Arcade,Strategy",1,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,
2022-03-25 08:14:31,2022-03-25 08:57:41,IP Address,128.227.188.116,100,2590,True,2022-03-25 08:57:42,R_3l7DLEo6Kn4qc0N,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2011,,Chrome,99.0.4844.82,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,white,,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Neutral,Scene,,Yes,Somewhat,Very Rarely,Somewhat clearly,Landmarks,,Street-level,,Some of each,Somewhat,Directions,Often,Somewhat flexile,Not easily,Scene at a time,,A little,moderately good,No,,0,1-5,few times a year,No,,Yes,few times a year,1-5,call of duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-29 09:47:38,2022-03-29 10:11:27,IP Address,128.227.188.116,100,1428,True,2022-03-29 10:11:27,R_tFMP0ZdAipPVhTj,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2012,,Chrome,99.0.4844.82,Windows NT 10.0,1920x1080,19,13,not english,right,female,woman,,heterosexual,,asian,,Somewhat agree,Agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Neutral,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Neutral,Somewhat agree,Somewhat disagree,Scene,,No,Somewhat,Somewhat Often,Very clearly,Landmarks,,Bird's Eye View,,Some of each,Somewhat,Map,Often,Somewhat flexile,Somewhat easily,Scene at a time,,A little,not very skilled,No,,,1-5,few times a year,No,,Yes,few times a year,1-5,Fifa,Grand theft auto,n/a,n/a,"Adventure Fighting,Mass. Multi. Online Games,Arcade",,1,3,,,,,,,2,,,,,,,,,,,,,,,,,,,
2022-04-01 07:35:26,2022-04-01 07:40:10,IP Address,128.227.188.116,100,283,True,2022-04-01 07:40:11,R_3PpjVwK1LY1SOlg,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2013,,Chrome,99.0.4844.84,Windows NT 10.0,1920x1080,18,13,english,right,female,woman,,heterosexual,,white,,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Agree,Disagree,Scene,,Yes,Yes,Very Rarely,Very clearly,Landmarks,,Street-level,,Know it,Somewhat,Map,Often,Flexible,Very easily,Scene at a time,,A little,not very skilled,No,,5,1-5,few times a year,No,,Yes,never,0,Mariocart,,,,"Music,Racing,Arcade",,,3,,,,,,,,,,,1,,,,,2,,,,,,,,,,
2022-04-01 08:20:13,2022-04-01 10:40:57,IP Address,128.227.188.116,100,8444,True,2022-04-01 10:40:57,R_6sy2ZAWEv4s1Tvr,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2014,,Chrome,99.0.4844.84,Windows NT 10.0,1920x1080,19,12,english,right,female,woman,,do not wish to say,,white,,Somewhat agree,Disagree,Somewhat disagree,Agree,Strongly disagree,Somewhat agree,Disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Neutral,Disagree,Scene,,Yes,Somewhat,Very Rarely,Somewhat clearly,Landmarks,,Street-level,,Some of each,Somewhat,Directions,Often,Somewhat flexile,Not easily,Scene at a time,,None at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
